"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"264","12/06/2020",12,6,2020,105,9,"Algeria","DZ","DZA",42228429,"Africa"
"265","11/06/2020",11,6,2020,102,8,"Algeria","DZ","DZA",42228429,"Africa"
"266","10/06/2020",10,6,2020,117,9,"Algeria","DZ","DZA",42228429,"Africa"
"267","09/06/2020",9,6,2020,111,8,"Algeria","DZ","DZA",42228429,"Africa"
"268","08/06/2020",8,6,2020,104,9,"Algeria","DZ","DZA",42228429,"Africa"
"269","07/06/2020",7,6,2020,115,8,"Algeria","DZ","DZA",42228429,"Africa"
"270","06/06/2020",6,6,2020,104,9,"Algeria","DZ","DZA",42228429,"Africa"
"271","05/06/2020",5,6,2020,205,14,"Algeria","DZ","DZA",42228429,"Africa"
"272","04/06/2020",4,6,2020,0,0,"Algeria","DZ","DZA",42228429,"Africa"
"273","03/06/2020",3,6,2020,113,6,"Algeria","DZ","DZA",42228429,"Africa"
"274","02/06/2020",2,6,2020,119,8,"Algeria","DZ","DZA",42228429,"Africa"
"275","01/06/2020",1,6,2020,127,7,"Algeria","DZ","DZA",42228429,"Africa"
"276","31/05/2020",31,5,2020,133,8,"Algeria","DZ","DZA",42228429,"Africa"
"277","30/05/2020",30,5,2020,137,8,"Algeria","DZ","DZA",42228429,"Africa"
"278","29/05/2020",29,5,2020,140,7,"Algeria","DZ","DZA",42228429,"Africa"
"279","28/05/2020",28,5,2020,160,6,"Algeria","DZ","DZA",42228429,"Africa"
"280","27/05/2020",27,5,2020,194,8,"Algeria","DZ","DZA",42228429,"Africa"
"281","26/05/2020",26,5,2020,197,9,"Algeria","DZ","DZA",42228429,"Africa"
"282","25/05/2020",25,5,2020,193,8,"Algeria","DZ","DZA",42228429,"Africa"
"283","24/05/2020",24,5,2020,195,10,"Algeria","DZ","DZA",42228429,"Africa"
"284","23/05/2020",23,5,2020,190,7,"Algeria","DZ","DZA",42228429,"Africa"
"285","22/05/2020",22,5,2020,186,7,"Algeria","DZ","DZA",42228429,"Africa"
"286","21/05/2020",21,5,2020,165,7,"Algeria","DZ","DZA",42228429,"Africa"
"287","20/05/2020",20,5,2020,176,6,"Algeria","DZ","DZA",42228429,"Africa"
"288","19/05/2020",19,5,2020,182,7,"Algeria","DZ","DZA",42228429,"Africa"
"289","18/05/2020",18,5,2020,198,6,"Algeria","DZ","DZA",42228429,"Africa"
"290","17/05/2020",17,5,2020,192,6,"Algeria","DZ","DZA",42228429,"Africa"
"291","16/05/2020",16,5,2020,187,7,"Algeria","DZ","DZA",42228429,"Africa"
"292","15/05/2020",15,5,2020,189,7,"Algeria","DZ","DZA",42228429,"Africa"
"293","14/05/2020",14,5,2020,186,7,"Algeria","DZ","DZA",42228429,"Africa"
"294","13/05/2020",13,5,2020,176,8,"Algeria","DZ","DZA",42228429,"Africa"
"295","12/05/2020",12,5,2020,168,5,"Algeria","DZ","DZA",42228429,"Africa"
"296","11/05/2020",11,5,2020,165,8,"Algeria","DZ","DZA",42228429,"Africa"
"297","10/05/2020",10,5,2020,189,6,"Algeria","DZ","DZA",42228429,"Africa"
"298","09/05/2020",9,5,2020,187,5,"Algeria","DZ","DZA",42228429,"Africa"
"299","08/05/2020",8,5,2020,185,7,"Algeria","DZ","DZA",42228429,"Africa"
"300","07/05/2020",7,5,2020,159,6,"Algeria","DZ","DZA",42228429,"Africa"
"301","06/05/2020",6,5,2020,190,5,"Algeria","DZ","DZA",42228429,"Africa"
"302","05/05/2020",5,5,2020,174,2,"Algeria","DZ","DZA",42228429,"Africa"
"303","04/05/2020",4,5,2020,179,4,"Algeria","DZ","DZA",42228429,"Africa"
